"","DOI_data","title","author.list","authorAffiliation","correspondingAuthor","abstract","keywords.list","fullText"
"1","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 14, 2019","Oxidative stress assessment by glutathione peroxidase activity and glutathione levels in response to selenium supplementation in patients with Mucopolysaccharidosis I, II and VI","Oxidative stress assessment by glutathione peroxidase activity and glutathione levels in response to selenium supplementation in patients with Mucopolysaccharidosis I, II and VI","Human and Medical Genetics,1Centro de Referência em Erros Inatos do Metabolismo (CREIM), Universidade Federal de São Paulo, São Paulo, SP, Brazil,2Laboratório de Erros Inatos do Metabolismo (LEIM), Departmento de Psicobiologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil,,","Received:
				October 31, 2017; Accepted:
				April 30, 2018","We assessed levels of plasma selenium (Se), selenoproteins and their change after Se supplementation in patients with mucopolysaccharidosis (MPS) types I, II and VI. This was done in a retrospective study of the medical records of 30 patients with MPS I (n=13), MPS II (n=9) and MPS VI (n=8) who were being treated with enzyme replacement therapy. As part of routine nutritional monitoring, Se levels were measured, revealing that 28 patients (93.3%) had values below the normal range. Therefore, they received supplementation for 12 months, and Se was measured after 6 and 12 months. Glutathione peroxidase (GPx) activity, total glutathione (GSHt), oxidized glutathione (GSSG) and reduced glutathione (GSH) were measured at baseline and 6 months after Se supplementation. The mean GSHt at baseline was 7.90 ± 2.36 µmol/g Hb, and after Se supplementation it was 5.76 ± 1.13 µmol/g Hb; GSH/GSSG was 2.3 ± 1.16 at baseline and 0.58 ± 0.38 after supplementation. GPx activity was 16.46 ± 3.31 U/g Hb at baseline and 4.53 ± 4.92 U/g Hb after Se supplementation. The difference was shown to be statistically significant by paired t-test. In conclusion, our study demonstrated that oxidative stress parameters were altered by Se supplementation in patients with MPS I, II and VI who were previously deficient in Se.","Renata Bernardes de Oliveira1 
			,Keywords: Mucopolysaccharidosis; oxidative stress; selenium; glutathione peroxidase","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100001&lang=en"
"2","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 14, 2019","Oxidative stress assessment by glutathione peroxidase activity and glutathione levels in response to selenium supplementation in patients with Mucopolysaccharidosis I, II and VI","Oxidative stress assessment by glutathione peroxidase activity and glutathione levels in response to selenium supplementation in patients with Mucopolysaccharidosis I, II and VI","Human and Medical Genetics,1Centro de Referência em Erros Inatos do Metabolismo (CREIM), Universidade Federal de São Paulo, São Paulo, SP, Brazil,2Laboratório de Erros Inatos do Metabolismo (LEIM), Departmento de Psicobiologia, Universidade Federal de São Paulo, São Paulo, SP, Brazil,,","Send correspondence to José Araújo de Oliveira Silva. Departamento de Pediatria, Universidade Federal de São Paulo, C.L. BOX 957, 04020-041 São Paulo, SP. Brazil. E-mail: ze_aos@hotmail.com.","We assessed levels of plasma selenium (Se), selenoproteins and their change after Se supplementation in patients with mucopolysaccharidosis (MPS) types I, II and VI. This was done in a retrospective study of the medical records of 30 patients with MPS I (n=13), MPS II (n=9) and MPS VI (n=8) who were being treated with enzyme replacement therapy. As part of routine nutritional monitoring, Se levels were measured, revealing that 28 patients (93.3%) had values below the normal range. Therefore, they received supplementation for 12 months, and Se was measured after 6 and 12 months. Glutathione peroxidase (GPx) activity, total glutathione (GSHt), oxidized glutathione (GSSG) and reduced glutathione (GSH) were measured at baseline and 6 months after Se supplementation. The mean GSHt at baseline was 7.90 ± 2.36 µmol/g Hb, and after Se supplementation it was 5.76 ± 1.13 µmol/g Hb; GSH/GSSG was 2.3 ± 1.16 at baseline and 0.58 ± 0.38 after supplementation. GPx activity was 16.46 ± 3.31 U/g Hb at baseline and 4.53 ± 4.92 U/g Hb after Se supplementation. The difference was shown to be statistically significant by paired t-test. In conclusion, our study demonstrated that oxidative stress parameters were altered by Se supplementation in patients with MPS I, II and VI who were previously deficient in Se.","Renata Bernardes de Oliveira1 
			,Keywords: Mucopolysaccharidosis; oxidative stress; selenium; glutathione peroxidase","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100001&lang=en"
"3","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 21, 2019","Mannose-Binding Lectin 2 (MBL2) combined genotypes deficiency is associated with susceptibility for Oral Lichen Planus","Mannose-Binding Lectin 2 (MBL2) combined genotypes deficiency is associated with susceptibility for Oral Lichen Planus","Human and Medical Genetics,1Institute for Maternal and Child Health, IRCCS “Burlo Garofolo”, Trieste, Italy,2Division of Oral Medicine and Pathology, Dental Clinic, “Maggiore” Hospital, Trieste, Italy,3Department of Surgical, Medical and Health Sciences, University of Trieste, Trieste, Italy,,","Received:
				January 16, 2018; Accepted:
				April 30, 2018","Oral Lichen Planus (OLP) is an oral inflammatory condition, mediated by host immune system reaction, presenting basal membrane damages with inflammatory lesions in the mouth and/or skin. In this study, the role of functional polymorphisms in the MBL2 gene, encoding for Mannose-Binding Protein C (MBP-C), a member of the innate immune response and an acute-phase protein able to activate the complement cascade, was investigated to assess a possible association with OLP susceptibility in Italian patients. Two variations at the promoter region (called H/L and X/Y) and three at the first exon (at codon 52, 54, and 57) of the MBL2 gene were analyzed in 69 OLP patients and 244 healthy controls from northeastern Italy. Considering the polymorphisms singularly, the MBL2 X allele and C/T genotype of the D allele (correlated with low MBP-C expression) were associated with susceptibility to develop OLP. Moreover, when taking into account MBL2 combined genotypes, more OLP patients were deficient MBP-C producers than not deficient, who were more represented among healthy controls. MBL2 combined genotypes, responsible for deficient MBP-C production, are associated with an increased risk of developing OLP.","Matteo Biasotto2 
			3 
			,Keywords: Mannose-Binding Protein-C; MBL2; Oral Lichen Planus; polymorphisms","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100009&lang=en"
"4","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 21, 2019","Mannose-Binding Lectin 2 (MBL2) combined genotypes deficiency is associated with susceptibility for Oral Lichen Planus","Mannose-Binding Lectin 2 (MBL2) combined genotypes deficiency is associated with susceptibility for Oral Lichen Planus","Human and Medical Genetics,1Institute for Maternal and Child Health, IRCCS “Burlo Garofolo”, Trieste, Italy,2Division of Oral Medicine and Pathology, Dental Clinic, “Maggiore” Hospital, Trieste, Italy,3Department of Surgical, Medical and Health Sciences, University of Trieste, Trieste, Italy,,","Send correspondence to Sergio Crovella. Departamento de Genética, Instituto de Ciências Biológicas, Universidade Federal de Pernambuco, Av. Prof. Moraes Rego 1235, Cidade Universitária, 50670-901 Recife, PE, Brazil. E-mail: crovelser@gmail.com
				","Oral Lichen Planus (OLP) is an oral inflammatory condition, mediated by host immune system reaction, presenting basal membrane damages with inflammatory lesions in the mouth and/or skin. In this study, the role of functional polymorphisms in the MBL2 gene, encoding for Mannose-Binding Protein C (MBP-C), a member of the innate immune response and an acute-phase protein able to activate the complement cascade, was investigated to assess a possible association with OLP susceptibility in Italian patients. Two variations at the promoter region (called H/L and X/Y) and three at the first exon (at codon 52, 54, and 57) of the MBL2 gene were analyzed in 69 OLP patients and 244 healthy controls from northeastern Italy. Considering the polymorphisms singularly, the MBL2 X allele and C/T genotype of the D allele (correlated with low MBP-C expression) were associated with susceptibility to develop OLP. Moreover, when taking into account MBL2 combined genotypes, more OLP patients were deficient MBP-C producers than not deficient, who were more represented among healthy controls. MBL2 combined genotypes, responsible for deficient MBP-C production, are associated with an increased risk of developing OLP.","Matteo Biasotto2 
			3 
			,Keywords: Mannose-Binding Protein-C; MBL2; Oral Lichen Planus; polymorphisms","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100009&lang=en"
"5","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 25, 2019","Identification of novel mutations of Insulin Receptor Substrate 1 (IRS1) in tumor samples of non-small cell lung cancer (NSCLC): Implications for aberrant insulin signaling in development of cancer","Identification of novel mutations of Insulin Receptor Substrate 1 (IRS1) in tumor samples of non-small cell lung cancer (NSCLC): Implications for aberrant insulin signaling in development of cancer","Human and Medical Genetics,1Van Yuzuncu Yil University, Faculty of Medicine, Medical Biology, Van, Turkey,2Izmir Biotechnology and Genome Center, Izmir, Turkey,3Akdeniz University, Faculty of Medicine, Medical Biology and Genetic, Antalya, Turkey,4SANKO University, Faculty of Medicine, Medical Biology, Gaziantep, Turkey,5Necmettin Erbakan University, Faculty of Science, Konya, Turkey,6Akdeniz University, Faculty of Medicine, Pathology, Antalya, Turkey,7Akdeniz University, Faculty of Medicine, Chest Surgery, Antalya, Turkey,8ALTAY Biopharma, San Bruno, CA, USA,,","Received:
				October 05, 2017; Accepted:
				June 13, 2018","Lung cancer is the leading cause of cancer-related death, and NSCLC constitutes nearly 85%–90% of all cases. The IRS proteins function as adaptors and transmit signals from multiple receptors. Upon binding of insulin to the insulin receptor (IR), IRS1 is phosphorylated at several YXXM motifs creating docking sites for the binding of PI3Kp85, which activates AKT kinase. Therefore, we thought that gain of function mutantions of IRS1 could be related to development of lung cancer. In line with this, we wanted determine whether the IRS1 gene was mutated in the coding regions surrounding YXXM motifs. We sequenced the coding regions surrounding YXXM motifs of IRS1 using tumor samples of 42 NSCLC patients and 40 matching controls and found heterozygote p.S668T mutation in nine of 42 samples and four of nine also had the p.D674H mutation. We generated IRS1 expression vectors harboring p.S668T, p.D674H and double mutants. Expression of the mutants differentially affected insulin-induced phosphorylation of IRS1, AKT, ERK, and STAT3. Also, our mutants induced proliferation, glucose uptake, inhibited the migration of 293T cells and affected the responsiveness of the cells to cisplatin and radiation. Our results suggest that these novel mutations play a role in the phenotype of lung cancer.","Ozlem Yilmaz3 
			,Keywords: IRS1; NSCLC; insulin signaling; lung cancer; IRS proteins","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100015&lang=en"
"6","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 25, 2019","Identification of novel mutations of Insulin Receptor Substrate 1 (IRS1) in tumor samples of non-small cell lung cancer (NSCLC): Implications for aberrant insulin signaling in development of cancer","Identification of novel mutations of Insulin Receptor Substrate 1 (IRS1) in tumor samples of non-small cell lung cancer (NSCLC): Implications for aberrant insulin signaling in development of cancer","Human and Medical Genetics,1Van Yuzuncu Yil University, Faculty of Medicine, Medical Biology, Van, Turkey,2Izmir Biotechnology and Genome Center, Izmir, Turkey,3Akdeniz University, Faculty of Medicine, Medical Biology and Genetic, Antalya, Turkey,4SANKO University, Faculty of Medicine, Medical Biology, Gaziantep, Turkey,5Necmettin Erbakan University, Faculty of Science, Konya, Turkey,6Akdeniz University, Faculty of Medicine, Pathology, Antalya, Turkey,7Akdeniz University, Faculty of Medicine, Chest Surgery, Antalya, Turkey,8ALTAY Biopharma, San Bruno, CA, USA,,","Send correspondence to Osman Nidai Ozes. ALTAY Biopharma, 209 Boardwalk Avenue, Unit F, San Bruno, CA, USA. E-mail: osmanozes@gmail.com.","Lung cancer is the leading cause of cancer-related death, and NSCLC constitutes nearly 85%–90% of all cases. The IRS proteins function as adaptors and transmit signals from multiple receptors. Upon binding of insulin to the insulin receptor (IR), IRS1 is phosphorylated at several YXXM motifs creating docking sites for the binding of PI3Kp85, which activates AKT kinase. Therefore, we thought that gain of function mutantions of IRS1 could be related to development of lung cancer. In line with this, we wanted determine whether the IRS1 gene was mutated in the coding regions surrounding YXXM motifs. We sequenced the coding regions surrounding YXXM motifs of IRS1 using tumor samples of 42 NSCLC patients and 40 matching controls and found heterozygote p.S668T mutation in nine of 42 samples and four of nine also had the p.D674H mutation. We generated IRS1 expression vectors harboring p.S668T, p.D674H and double mutants. Expression of the mutants differentially affected insulin-induced phosphorylation of IRS1, AKT, ERK, and STAT3. Also, our mutants induced proliferation, glucose uptake, inhibited the migration of 293T cells and affected the responsiveness of the cells to cisplatin and radiation. Our results suggest that these novel mutations play a role in the phenotype of lung cancer.","Ozlem Yilmaz3 
			,Keywords: IRS1; NSCLC; insulin signaling; lung cancer; IRS proteins","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100015&lang=en"
"7","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 28, 2019","Association of FOSL1 copy number alteration and triple negative breast tumors","Association of FOSL1 copy number alteration and triple negative breast tumors","Human and Medical Genetics,1Laboratory of Human Cytogenetics and Oncogenetics, Departmentamento de Genética, Universidade Federal do Paraná, Curitiba, PR, Brazil,2Breast Unit, Hospital Nossa Senhora das Graças, Curitiba, PR, Brazil,3Department of Oncology, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, D.C., U.S.A.,,","Received:
				September 01, 2017; Accepted:
				June 13, 2018","Copy number alterations (CNAs) are a frequent feature in human breast cancer, and one of the hallmarks of genomic instability. The FOSL1, GSTP1 and CCND1 genes are located at 11q13, a cytoband commonly affected by CNA in breast cancer, with relevant function in progression and invasion. Our main goal was to analyze CNAs of these genes and determine their association with breast cancer subtypes. Seventy-three cases of invasive breast tumors [52 Luminal, 7 HER2+ and 14 triple negative (TNBC) subtypes] were analyzed by TaqMan assays. CNAs were observed for all genes, with gains more frequently observed. Gains of the FOSL1 gene were observed in 71% of the cases. This gene was the only one with a statistically significant difference (p<0.001) among tumor subtypes, with increased copy number in TNBC compared to luminal and HER2+. No significant association of CNA and clinical and histopathological parameters from the patients was observed. Additional studies in larger breast cancer patient cohorts based on more refined molecular subtypes are necessary to confirm the observed association of FOSL1 gain with aggressive breast tumors phenotypes.","Stephanie Bath de Morais1 
			,Keywords: Triple negative breast cancer; TNBC; DNA copy number alterations; CNA","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100026&lang=en"
"8","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Feb 28, 2019","Association of FOSL1 copy number alteration and triple negative breast tumors","Association of FOSL1 copy number alteration and triple negative breast tumors","Human and Medical Genetics,1Laboratory of Human Cytogenetics and Oncogenetics, Departmentamento de Genética, Universidade Federal do Paraná, Curitiba, PR, Brazil,2Breast Unit, Hospital Nossa Senhora das Graças, Curitiba, PR, Brazil,3Department of Oncology, Lombardi Comprehensive Cancer Center, Georgetown University, Washington, D.C., U.S.A.,,","Send correspondence to Enilze M. S. F. Ribeiro. Genetics Department, Federal University of Parana, 81531-980, Curitiba, PR, Brazil. E-mail: enilzeribeiro@gmail.com.","Copy number alterations (CNAs) are a frequent feature in human breast cancer, and one of the hallmarks of genomic instability. The FOSL1, GSTP1 and CCND1 genes are located at 11q13, a cytoband commonly affected by CNA in breast cancer, with relevant function in progression and invasion. Our main goal was to analyze CNAs of these genes and determine their association with breast cancer subtypes. Seventy-three cases of invasive breast tumors [52 Luminal, 7 HER2+ and 14 triple negative (TNBC) subtypes] were analyzed by TaqMan assays. CNAs were observed for all genes, with gains more frequently observed. Gains of the FOSL1 gene were observed in 71% of the cases. This gene was the only one with a statistically significant difference (p<0.001) among tumor subtypes, with increased copy number in TNBC compared to luminal and HER2+. No significant association of CNA and clinical and histopathological parameters from the patients was observed. Additional studies in larger breast cancer patient cohorts based on more refined molecular subtypes are necessary to confirm the observed association of FOSL1 gain with aggressive breast tumors phenotypes.","Stephanie Bath de Morais1 
			,Keywords: Triple negative breast cancer; TNBC; DNA copy number alterations; CNA","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100026&lang=en"
"9","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Mar 11, 2019","Does the expression of the ACVR2A gene affect the development of colorectal cancer?","Does the expression of the ACVR2A gene affect the development of colorectal cancer?","Human and Medical Genetics,1Laboratory of Molecular Diagnostics and Pharmacogenomics, Department of Pharmaceutical Biochemistry and Molecular Diagnostics, Interfaculty Cathedral of Laboratory and Molecular Diagnostics, Medical University of Lodz, Lodz, Poland,,","Received:
				October 30, 2017; Accepted:
				June 21, 2018","Colorectal cancer has become a serious problem, especially in highly developed countries. As reported by the World Health Organization, the number of colon cancer cases in the world in 2012 amounted to 1.36 million. It is the second most common cancer in females (614,000 cases, 9.2% of the total) and the third in males (746,000 cases, 10.0% of the total) worldwide. It is believed that TGFß pathway elements are involved in the pathogenesis of colorectal cancer. This study assessed one of these elements, the ACVR2A gene. Qualitative and quantitative analyses of the ACVR2A gene in 84 patients with colorectal cancer was performed. There was no statistically significant association between ACVR2A gene expression and age, gender, histological type, grading of tumor, vascular invasion, and presence of lymphocytes in tumor tissue. No association was observed between the ACVR2A gene expression level and the presence of metastases in regional lymph nodes and distant metastases. In this study, larger tumors (T3 and T4) were characterized by higher ACVR2A expression compared to smaller tumors (T1 and T2). This may indicate an association between ACVR2A expression and the severity of pathological changes in the tumor growth process.","Jacek Pietrzak1 
			http://orcid.org/0000-0002-9187-1199,Keywords: Activin A protein; ACVR2A gene expression; tumor suppressor; colorectal cancer; TGFß signaling pathway","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100032&lang=en"
"10","Genet. Mol. Biol. vol.42 no.1 Ribeirão Preto Jan./Mar. 2019
			 Epub Mar 11, 2019","Does the expression of the ACVR2A gene affect the development of colorectal cancer?","Does the expression of the ACVR2A gene affect the development of colorectal cancer?","Human and Medical Genetics,1Laboratory of Molecular Diagnostics and Pharmacogenomics, Department of Pharmaceutical Biochemistry and Molecular Diagnostics, Interfaculty Cathedral of Laboratory and Molecular Diagnostics, Medical University of Lodz, Lodz, Poland,,","Send correspondence to Ewa Balcerczak. Laboratory of Molecular Diagnostics and Pharmacogenomics, Department of Pharmaceutical Biochemistry and Molecular Diagnostics, Interfaculty Cathedral of Laboratory and Molecular Diagnostics, Medical University of Lodz; Muszynskiego 1, 90-151 Lodz, Poland. E-mail: ewa.balcerczak@umed.lodz.pl.","Colorectal cancer has become a serious problem, especially in highly developed countries. As reported by the World Health Organization, the number of colon cancer cases in the world in 2012 amounted to 1.36 million. It is the second most common cancer in females (614,000 cases, 9.2% of the total) and the third in males (746,000 cases, 10.0% of the total) worldwide. It is believed that TGFß pathway elements are involved in the pathogenesis of colorectal cancer. This study assessed one of these elements, the ACVR2A gene. Qualitative and quantitative analyses of the ACVR2A gene in 84 patients with colorectal cancer was performed. There was no statistically significant association between ACVR2A gene expression and age, gender, histological type, grading of tumor, vascular invasion, and presence of lymphocytes in tumor tissue. No association was observed between the ACVR2A gene expression level and the presence of metastases in regional lymph nodes and distant metastases. In this study, larger tumors (T3 and T4) were characterized by higher ACVR2A expression compared to smaller tumors (T1 and T2). This may indicate an association between ACVR2A expression and the severity of pathological changes in the tumor growth process.","Jacek Pietrzak1 
			http://orcid.org/0000-0002-9187-1199,Keywords: Activin A protein; ACVR2A gene expression; tumor suppressor; colorectal cancer; TGFß signaling pathway","http://www.scielo.brhttp://www.scielo.br/scieloOrg/php/articleXML.php?pid=S1415-47572019000100032&lang=en"
